No.,名称,经度(度),纬度(度),高程(米)
351,0,109.638813268,33.543486754,990.886
352,0,109.806058433,33.543486754,749.815
353,0,109.973303599,33.543486754,793.127
354,0,110.140548764,33.543486754,830.215
355,0,110.307793929,33.543486754,1138.153
356,0,110.475039094,33.543486754,1130.897
357,0,110.642284259,33.543486754,903.568
358,0,110.809529425,33.543486754,552.911
359,0,110.976774590,33.543486754,639.520
360,0,111.144019755,33.543486754,761.008
361,0,111.311264920,33.543486754,545.595
362,0,111.478510085,33.543486754,521.162
363,0,111.645755251,33.543486754,546.401
364,0,111.813000416,33.543486754,518.775
365,0,111.980245581,33.543486754,793.947
366,0,112.147490746,33.543486754,863.292
367,0,112.314735911,33.543486754,451.549
368,0,112.481981077,33.543486754,205.846
369,0,112.649226242,33.543486754,226.196
370,0,112.816471407,33.543486754,240.617
371,0,112.983716572,33.543486754,243.409
372,0,113.150961737,33.543486754,180.924
373,0,113.318206903,33.543486754,109.996
374,0,113.485452068,33.543486754,100.579
375,0,113.652697233,33.543486754,79.839
376,0,113.819942398,33.543486754,69.409
377,0,113.987187563,33.543486754,61.681
378,0,114.154432729,33.543486754,56.065
379,0,114.321677894,33.543486754,52.131
380,0,114.488923059,33.543486754,48.446
381,0,114.656168224,33.543486754,45.276
382,0,114.823413389,33.543486754,43.213
383,0,114.990658555,33.543486754,41.678
384,0,115.157903720,33.543486754,40.691
385,0,115.325148885,33.543486754,38.609
386,0,115.492394050,33.543486754,35.645
387,0,115.659639215,33.543486754,33.698
388,0,115.826884381,33.543486754,32.353
389,0,115.994129546,33.543486754,31.139
390,0,116.161374711,33.543486754,30.896
391,0,116.328619876,33.543486754,29.950
392,0,116.495865041,33.543486754,28.212
393,0,116.663110207,33.543486754,26.844
394,0,116.830355372,33.543486754,25.194
395,0,116.997600537,33.543486754,23.711
396,0,117.164845702,33.543486754,22.188
397,0,117.332090867,33.543486754,22.014
398,0,117.499336033,33.543486754,20.710
399,0,117.666581198,33.543486754,19.604
400,0,117.833826363,33.543486754,20.091
401,0,118.001071528,33.543486754,34.716
402,0,106.962890625,33.376241589,668.171
403,0,107.130135790,33.376241589,581.119
404,0,107.297380955,33.376241589,532.794
405,0,107.464626121,33.376241589,494.693
406,0,107.631871286,33.376241589,522.071
407,0,107.799116451,33.376241589,572.081
408,0,107.966361616,33.376241589,662.455
409,0,108.133606781,33.376241589,805.357
410,0,108.300851947,33.376241589,1099.822
411,0,108.468097112,33.376241589,1325.073
412,0,108.635342277,33.376241589,1377.300
