No.,名称,经度(度),纬度(度),高程(米)
153,0,115.259912078,38.643181947,39.233
154,0,115.910309676,38.643181947,20.161
155,0,116.560707275,38.643181947,13.951
156,0,117.211104874,38.643181947,10.083
157,0,117.861502473,38.643181947,5.014
158,0,118.511900072,38.643181947,2.102
159,0,119.162297671,38.643181947,2.102
160,0,120.463092869,38.643181947,4.400
161,0,121.113490468,38.643181947,4.400
162,0,101.601562500,37.992784348,3159.467
163,0,102.251960099,37.992784348,3727.823
164,0,102.902357698,37.992784348,2758.059
165,0,103.552755297,37.992784348,2423.540
166,0,104.203152896,37.992784348,1937.868
167,0,104.853550495,37.992784348,1525.891
168,0,105.503948094,37.992784348,1352.760
169,0,106.154345693,37.992784348,1348.114
170,0,106.804743291,37.992784348,1453.712
171,0,107.455140890,37.992784348,1576.524
172,0,108.105538489,37.992784348,1625.335
173,0,108.755936088,37.992784348,1531.997
174,0,109.406333687,37.992784348,1220.413
175,0,110.056731286,37.992784348,1046.897
176,0,110.707128885,37.992784348,853.692
177,0,111.357526484,37.992784348,1341.896
178,0,112.007924083,37.992784348,972.985
179,0,112.658321682,37.992784348,976.618
180,0,113.308719281,37.992784348,1259.896
181,0,113.959116880,37.992784348,806.851
182,0,114.609514479,37.992784348,174.568
183,0,115.259912078,37.992784348,27.926
184,0,115.910309676,37.992784348,25.876
185,0,116.560707275,37.992784348,22.200
186,0,117.211104874,37.992784348,14.981
187,0,117.861502473,37.992784348,11.496
188,0,118.511900072,37.992784348,7.623
189,0,119.162297671,37.992784348,7.068
190,0,119.812695270,37.992784348,77.517
191,0,120.463092869,37.992784348,156.976
192,0,121.113490468,37.992784348,76.833
193,0,121.763888067,37.992784348,31.705
194,0,122.414285666,37.992784348,12.402
195,0,123.064683265,37.992784348,1.800
196,0,101.601562500,37.342386749,3177.823
197,0,102.251960099,37.342386749,3400.694
198,0,102.902357698,37.342386749,2766.373
199,0,103.552755297,37.342386749,2381.522
200,0,104.203152896,37.342386749,1842.639
201,0,104.853550495,37.342386749,1774.043
202,0,105.503948094,37.342386749,1780.416
203,0,106.154345693,37.342386749,1699.717
204,0,106.804743291,37.342386749,1622.660
205,0,107.455140890,37.342386749,1437.703
206,0,108.105538489,37.342386749,1442.268
207,0,108.755936088,37.342386749,1407.472
208,0,109.406333687,37.342386749,1163.531
209,0,110.056731286,37.342386749,998.868
210,0,110.707128885,37.342386749,1143.020
211,0,111.357526484,37.342386749,1037.362
212,0,112.007924083,37.342386749,1382.627
213,0,112.658321682,37.342386749,1159.732
214,0,113.308719281,37.342386749,1015.517
